Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,Essex,Eastbrook Comprehensive School,Mixed,Barking and Dagenham,,RM10 7UR,18,11,Dagenham Road,Dagenham,Community School,550112,185839
,Essex,Eastbury Comprehensive School,Mixed,Barking and Dagenham,,IG11 9UW,18,11,Hulse Avenue,Barking,Community School,545048,184690
,Essex,Robert Clack School,Mixed,Barking and Dagenham,,RM8 1JU,18,11,Gosfield Road,Dagenham,Community School,548825,186950
,Essex,The Sydney Russell School,Mixed,Barking and Dagenham,,RM9 5QT,18,11,Parsloes Avenue,Dagenham,Community School,547963,185474
,Essex,All Saints Catholic School and Technology College,Mixed,Barking and Dagenham,Wood Lane,RM8 1JT,18,11,Terling Road,Dagenham,Voluntary Aided School,549215,187064
,Hertfordshire,Brookhill Nursery School,Mixed,Barnet,East Barnet,EN4 8SD,5,3,Brookhill Road,Barnet,LA Nursery School,527087,195626
,,Hampden Way Nursery School,Mixed,Barnet,Southgate,N14 5DJ,5,3,Hampden Way,London,LA Nursery School,528689,194167
,,Moss Hall Nursery School,Mixed,Barnet,Finchley,N3 1NR,5,3,189 Nether Street,London,LA Nursery School,525668,191761
,Hertfordshire,St Margaret's Nursery School,Mixed,Barnet,New Barnet,EN4 9NT,5,3,Margaret Road,Barnet,LA Nursery School,526828,196062
,,Pavilion Study Centre,Mixed,Barnet,Whetstone,N20 9DX,16,12,586 Chandos Avenue,London,Pupil Referral Unit,526783,194420
,,Parkfield Primary School,Mixed,Barnet,Hendon,NW4 3UB,11,3,St David's Place,London,Community School,522584,187917
,,Barnfield Primary School,Mixed,Barnet,,HA8 0DA,11,3,Silkstream Road,Edgware,Community School,520286,190526
,,Bell Lane Primary School,Mixed,Barnet,Hendon,NW4 2AS,11,3,Bell Lane,London,Community School,523677,189134
,,Brookland Junior School,Mixed,Barnet,Hampstead Garden Suburb,NW11 6EJ,11,7,Hill Top,London,Community School,525598,189486
,,Brookland Infant and Nursery School,Mixed,Barnet,Hampstead Garden Suburb,NW11 6EJ,7,3,Hill Top,London,Community School,525598,189486
,,Brunswick Park Primary and Nursery School,Mixed,Barnet,Southgate,N14 5DU,11,3,Osidge Lane,London,Community School,528271,194004
,,Childs Hill School,Mixed,Barnet,Cricklewood,NW2 1SL,11,3,Dersingham Road,London,Community School,524390,186337
,Hertfordshire,Church Hill School,Mixed,Barnet,East Barnet,EN4 8NN,11,4,Burlington Rise,Barnet,Community School,527487,194545
,,Colindale Primary School,Mixed,Barnet,Colindale,NW9 6DT,11,3,Clovelly Avenue,London,Community School,521535,189221
,,Coppetts Wood Primary School,Mixed,Barnet,Friern Barnet,N10 1JS,11,3,Coppetts Road,London,Community School,528083,190944
,,Courtland School,Mixed,Barnet,Mill Hill,NW7 3BG,11,4,Courtland Avenue,London,Community School,521053,193499
,Hertfordshire,Cromer Road Primary School,Mixed,Barnet,New Barnet,EN5 5HT,11,5,Cromer Road,Barnet,Community School,526107,196508
,,Deansbrook Junior School,Mixed,Barnet,Mill Hill,NW7 3ED,11,7,Hale Drive,London,Community School,520522,191904
,,Deansbrook Infant School,Mixed,Barnet,Mill Hill,NW7 3ED,7,3,Hale Drive,London,Community School,520522,191904
,,Dollis Infant School,Mixed,Barnet,Mill Hill,NW7 2BU,7,3,Pursley Road,London,Community School,523053,191451
,,Edgware Junior School,Mixed,Barnet,,HA8 9AB,11,7,Heming Road,Edgware,Community School,519523,191548
,,Edgware Infant School,Mixed,Barnet,,HA8 7EQ,7,3,High Street,Edgware,Community School,519378,191512
,,Fairway Primary School and Children's Centre,Mixed,Barnet,Mill Hill,NW7 3HS,11,3,The Fairway,London,Community School,520747,193496
,Hertfordshire,Foulds School,Mixed,Barnet,,EN5 4NR,11,5,Byng Road,Barnet,Community School,523906,196826
,,Frith Manor Primary School,Mixed,Barnet,Woodside Park,N12 7BN,11,3,Lullington Garth,London,Community School,524584,192216
,,Garden Suburb Junior School,Mixed,Barnet,,NW11 6XU,11,7,Childs Way,London,Community School,524978,188877
,,Garden Suburb Infant School,Mixed,Barnet,Hampstead Garden Suburb,NW11 6XU,7,5,Childs Way,London,Community School,524978,188877
,,Goldbeaters Primary School,Mixed,Barnet,,HA8 0HA,11,3,Thirleby Road,Edgware,Community School,520791,190910
,,Hollickwood Primary School,Mixed,Barnet,Muswell Hill,N10 2NL,11,3,Sydney Road,London,Foundation School,528626,191205
,,Holly Park Primary School,Mixed,Barnet,Friern Barnet,N11 3HG,11,3,Bellevue Road,London,Community School,528107,192524
,Hertfordshire,Livingstone Primary and Nursery School,Mixed,Barnet,New Barnet,EN4 9BU,11,3,Baring Road,Barnet,Community School,526921,196783
,,Manorside Primary School,Mixed,Barnet,Finchley,N3 2AB,11,3,Squires Lane,London,Community School,526076,190672
,,Monkfrith Primary School,Mixed,Barnet,,N14 5NG,11,5,Knoll Drive,London,Community School,528377,194732
,,Moss Hall Junior School,Mixed,Barnet,Finchley,N3 1NR,11,7,Nether Street,London,Community School,525719,191679
,,Moss Hall Infant School,Mixed,Barnet,Finchley,N12 8PE,7,5,Moss Hall Grove,London,Community School,525719,191679
,,Northside Primary School,Mixed,Barnet,North Finchley,N12 8JP,11,3,2 Albert Street,London,Community School,526149,192370
,,Summerside Primary School,Mixed,Barnet,Finchley,N12 0QU,11,3,Crossway,London,Community School,526931,191657
,,Woodridge Primary School,Mixed,Barnet,North Finchley,N12 7HE,11,4,Southover,London,Community School,525135,193224
,,Tudor Primary School,Mixed,Barnet,Finchley,N3 2AG,11,3,Queen's Road,London,Community School,526318,190626
,Hertfordshire,Underhill Junior School,Mixed,Barnet,,EN5 2LZ,11,7,Mays Lane,Barnet,Community School,524264,195593
,Hertfordshire,Underhill Infant School,Mixed,Barnet,,EN5 2LZ,7,3,Mays Lane,Barnet,Community School,524264,195593
,Hertfordshire,Whitings Hill Primary School,Mixed,Barnet,,EN5 2QY,11,3,Whitings Road,Barnet,Community School,523382,195582
,,Chalgrove Primary School,Mixed,Barnet,Finchley,N3 3PL,11,4,Chalgrove Gardens,London,Community School,524324,189626
Hendon,,Sunnyfields Primary School,Mixed,Barnet,Mill Hill,NW4 4JH,11,3,Hatchcroft,London,Community School,522591,189509
,,Queenswell Infant & Nursery School,Mixed,Barnet,Whetstone,N20 0NQ,7,3,Sweets Way,London,Community School,526761,193616
,,Queenswell Junior School,Mixed,Barnet,Whetstone,N20 0NQ,11,7,Sweets Way,London,Community School,526761,193616
,Hertfordshire,Danegrove Primary School,Mixed,Barnet,East Barnet,EN4 8UD,11,5,Windsor Drive,Barnet,Community School,527502,195470
,,All Saints' CofE Primary School NW2,Mixed,Barnet,Childs Hill,NW2 2TH,11,4,Cricklewood Lane,London,Voluntary Aided School,524872,186340
,Hertfordshire,Christ Church Primary School,Mixed,Barnet,,EN5 4NS,11,3,Byng Road,Barnet,Voluntary Aided School,523772,197077
East Finchley,,Holy Trinity CofE Primary School,Mixed,Barnet,,N2 8GA,11,3,Eagans Close,London,Voluntary Aided School,526979,189621
,Hertfordshire,Monken Hadley CofE Primary School,Mixed,Barnet,Monken Hadley,EN4 0NJ,11,4,Camlet Way,Barnet,Voluntary Aided School,525232,197563
,,St John's CofE Junior Mixed and Infant School,Mixed,Barnet,Friern Barnet,N11 3LB,11,3,Crescent Road,London,Voluntary Aided School,527783,192497
,,St John's CofE Primary School,Mixed,Barnet,Whetstone,N20 0PL,11,3,Swan Lane,London,Voluntary Aided School,526280,193561
,,St Mary's CofE Primary School,Mixed,Barnet,Finchley,N3 1BT,11,3,Dollis Park,London,Voluntary Aided School,524746,190949
,Hertfordshire,"St Mary's CofE Primary School, East Barnet",Mixed,Barnet,East Barnet,EN4 8SR,11,4,Littlegrove,Barnet,Voluntary Aided School,527317,195180
,,St Paul's CofE Primary School N11,Mixed,Barnet,Friern Barnet,N11 1NQ,11,3,The Avenue,London,Voluntary Aided School,528581,192454
,Middlesex,St Paul's CofE Primary School NW7,Mixed,Barnet,Mill Hill,NW7 1QU,11,4,The Ridgeway,London,Voluntary Aided School,522534,192785
,,"St Andrew's CofE Voluntary Aided Primary School, Totteridge",Mixed,Barnet,Totteridge,N20 8NX,11,4,The Green,London,Voluntary Aided School,524931,193894
Cockfosters,Hertfordshire,Trent CofE Primary School,Mixed,Barnet,Off Chalk Lane,EN4 9JH,11,5,Church Way,Barnet,Voluntary Aided School,527895,196294
,,All Saints' CofE Primary School N20,Mixed,Barnet,Whetstone,N20 9EZ,11,3,116 Oakleigh Road North,London,Voluntary Aided School,526917,193833
,,The Annunciation RC Infant School,Mixed,Barnet,,HA8 0HQ,7,3,Thirleby Road,Edgware,Voluntary Aided School,520591,190759
,,Our Lady of Lourdes RC School,Mixed,Barnet,Finchley,N12 0JP,11,3,Bow Lane,London,Voluntary Aided School,526420,190952
,,St Agnes RC School,Mixed,Barnet,Cricklewood,NW2 1RG,11,3,Thorverton Road,London,Voluntary Aided School,524125,186126
,Hertfordshire,St Catherine's RC School,Mixed,Barnet,,EN5 2ED,11,3,Vale Drive,Barnet,Voluntary Aided School,525067,195987
,,St Vincent's Catholic Primary School,Mixed,Barnet,Mill Hill,NW7 1EJ,11,5,The Ridgeway,London,Voluntary Aided School,523095,192498
,,St Theresa's RC School,Mixed,Barnet,Finchley,N3 2TD,11,4,East End Road,London,Voluntary Aided School,525580,189989
,,St Joseph's RC Infant School,Mixed,Barnet,Hendon,NW4 4TY,7,3,Watford Way,London,Voluntary Aided School,522624,189086
,,St Joseph's RC Junior School,Mixed,Barnet,Hendon,NW4 4TY,11,7,Watford Way,London,Voluntary Aided School,522624,189086
,,Sacred Heart Roman Catholic Primary School,Mixed,Barnet,Whetstone,N20 9JU,11,5,2 Oakleigh Park South,London,Voluntary Aided School,527228,193996
,,Blessed Dominic RC School,Mixed,Barnet,Grahame Park,NW9 5FN,11,3,Lanacre Avenue,London,Voluntary Aided School,521569,190463
,,Rosh Pinah Primary School,Mixed,Barnet,,HA8 8TE,11,3,Glengall Road,Edgware,Voluntary Aided School,519803,193439
Golders Green,,Menorah Primary School,Mixed,Barnet,1-3 the Drive,NW11 9SP,11,3,The Wohl Campus,London,Voluntary Aided School,524350,187703
,,The Annunciation RC Junior School,Mixed,Barnet,Burnt Oak,HA8 9HQ,11,7,The Meads,Edgware,Voluntary Aided School,520712,191769
,,Friern Barnet School,Mixed,Barnet,Friern Barnet,N11 3LS,16,11,Hemington Avenue,London,Community School,527853,192405
,,Dollis Junior School,Mixed,Barnet,Mill Hill,NW7 2BU,11,7,Pursley Road,London,Foundation School,523053,191451
,,Osidge Primary School,Mixed,Barnet,Southgate,N14 5HD,11,4,Chase Side,London,Foundation School,529173,194444
,,St Mary's CofE High School,Mixed,Barnet,Hendon,NW4 1AB,18,11,Downage,London,Voluntary Aided School,523162,189668
,,St Michael's Catholic Grammar School,Girls,Barnet,North Finchley,N12 7NJ,18,11,Nether Street,London,Voluntary Aided School,526058,192177
,,Finchley Catholic High School,Boys,Barnet,Finchley,N12 8TA,18,11,Woodside Lane,London,Voluntary Aided School,526022,193124
,,St James' Catholic High School,Mixed,Barnet,Colindale,NW9 5PE,18,11,Great Strand,London,Voluntary Aided School,521928,190571
,,Bishop Douglass School Finchley,Mixed,Barnet,East Finchley,N2 0SQ,18,11,Hamilton Road,London,Voluntary Aided School,526275,189926
,,Mill Hill School Foundation,Mixed,Barnet,Mill Hill Village,NW7 4ED,19,3,The Ridgeway,London,Other Independent School,522249,193073
,,Hendon Preparatory School,Mixed,Barnet,Hendon,NW4 1TD,13,2,20 Tenterden Grove,London,Other Independent School,523599,189538
,,King Alfred School,Mixed,Barnet,,NW11 7HY,18,5,149 North End Road,London,Other Independent School,525868,187188
,Hertfordshire,Lyonsdown School,Mixed,Barnet,New Barnet,EN5 1SA,11,3,3 Richmond Road,Barnet,Other Independent School,526012,195759
,,The Mount School,Girls,Barnet,Mill Hill,NW7 2RX,16,3,Milespit Hill,London,Other Independent School,522976,192225
,Hertfordshire,St Martha's Senior School,Girls,Barnet,Hadley,EN4 0NJ,19,11,Camlet Way,Barnet,Other Independent School,525341,197604
,,Annemount School,Mixed,Barnet,Hampstead Garden Suberb,N2 0QN,7,3,18 Holne Chase,London,Other Independent School,526496,188342
,,Mathilda Marks-Kennedy Jewish Primary School,Mixed,Barnet,Mill Hill,NW7 3RT,11,3,68 Hale Lane,London,Voluntary Aided School,520922,192197
,,Golders Hill School,Mixed,Barnet,Golders Green,NW11 7NT,6,2,666 Finchley Road,London,Other Independent School,525131,187721
,,Goodwyn School,Mixed,Barnet,Mill Hill,NW7 4DB,11,3,Hammers Lane,London,Other Independent School,522178,192419
,Middlesex,Holland House School,Mixed,Barnet,,HA8 8TP,10,5,1 Broadhurst Avenue,Edgware,Other Independent School,519587,192867
,,Kerem School,Mixed,Barnet,Hampstead Garden Suburb,N2 0RE,11,3,Norrice Lea,London,Other Independent School,526619,188839
,,St Martin's School,Mixed,Barnet,Mill Hill,NW7 3RG,11,3,22 Goodwyn Avenue,London,Other Independent School,521427,192238
,,Pardes House Grammar School,Boys,Barnet,Finchley,N3 1SA,16,10,Hendon Lane,London,Other Independent School,524942,190464
,,Kisharon Day School,Mixed,Barnet,,NW11 7HB,19,4,1011 Finchley Road,London,Other Independent Special School,524942,188200
,Middlesex,Menorah Grammar School,Boys,Barnet,,HA8 0QS,18,11,Abbots Road,Edgware,Other Independent School,520316,191325
,,Beth Jacob Grammar School for Girls,Girls,Barnet,Hendon,NW4 2AT,17,11,Stratford Road,London,Other Independent School,523564,189090
,,The North London International School,Mixed,Barnet,,N11 3LX,18,2,6 Friern Barnet Lane,London,Other Independent School,527536,192170
Hendon,,Brampton College,Mixed,Barnet,Lodge Road,NW4 4DQ,19,15,Lodge House,London,Other Independent School,523260,189250
East Finchley,,Oak Lodge School,Mixed,Barnet,Mill Hill,N2 0QY,19,11,Heath View,London,Community Special School,526318,189421
,,Northway School,Mixed,Barnet,Mill Hill,NW7 3HS,11,3,The Fairway,London,Community Special School,520648,193478
,,Oakleigh School & Acorn Assessment Centre,Mixed,Barnet,Whetstone,N20 0DH,11,2,Oakleigh Road North,London,Community Special School,527540,193376
,,Mapledown School,Mixed,Barnet,Cricklewood,NW2 1TR,19,11,Claremont Road,London,Community Special School,523487,187609
,Kent,Brampton Primary School,Mixed,Bexley,,DA7 4SL,11,5,Brampton Road,Bexleyheath,Community School,547941,176369
,Kent,Crook Log Primary School,Mixed,Bexley,,DA6 8EQ,11,3,Crook Log,Bexleyheath,Community School,547838,175369
,Kent,Danson Primary School,Mixed,Bexley,,DA16 2BH,11,3,Danson Lane,Welling,Community School,546456,175254
,Kent,Eastcote Primary School,Mixed,Bexley,,DA16 2ST,11,3,Eastcote Road,Welling,Community School,544831,175927
,Kent,East Wickham Junior School,Mixed,Bexley,,DA16 3BP,11,7,Wickham Street,Welling,Community School,546123,176548
,Kent,Gravel Hill Primary School,Mixed,Bexley,,DA6 7QJ,11,3,Watling Street,Bexleyheath,Community School,549770,175013
,Kent,Hillsgrove Primary School,Mixed,Bexley,,DA16 1DR,11,3,Sidmouth Road,Welling,Community School,547170,177188
,Kent,Hook Lane Primary School,Mixed,Bexley,,DA16 2ET,11,3,Faraday Road,Welling,Community School,546168,175745
,Kent,Pelham Primary School,Mixed,Bexley,,DA7 4HL,11,3,Pelham Road,Bexleyheath,Community School,549396,175545
,Kent,Upton Primary School,Mixed,Bexley,,DA5 1HH,11,3,Iris Avenue,Bexley,Community School,548454,174428
,Kent,Mayplace Primary School,Mixed,Bexley,,DA7 6EQ,11,3,Woodside Road,Barnehurst,Community School,550631,175326
,Kent,Slade Green Junior School,Mixed,Bexley,,DA8 2HX,11,7,Slade Green Road,Erith,Community School,552330,177087
,Kent,Bedonwell Junior School,Mixed,Bexley,,DA17 5PF,11,7,Bedonwell Road,Belvedere,Community School,548292,177759
,Kent,Bedonwell Infant and Nursery School,Mixed,Bexley,,DA17 5PF,7,3,Bedonwell Road,Belvedere,Community School,548292,177759
,Kent,Belmont Primary School,Mixed,Bexley,,DA8 1LE,11,3,Belmont Road,Erith,Community School,549142,177070
,Kent,Lessness Heath Primary School,Mixed,Bexley,,DA17 6HB,11,3,Erith Road,Belvedere,Community School,549310,178211
,Kent,Belvedere Junior School,Mixed,Bexley,,DA17 6AA,11,7,Mitchell Close,Belvedere,Community School,549861,179072
,Kent,Birkbeck Primary School,Mixed,Bexley,,DA14 4ED,11,3,Alma Road,Sidcup,Community School,546481,172429
,Kent,Burnt Oak Junior School,Mixed,Bexley,,DA15 9DA,11,7,Burnt Oak Lane,Sidcup,Community School,546116,173056
,Kent,Days Lane Primary School,Mixed,Bexley,,DA15 8JU,11,3,Days Lane,Sidcup,Community School,545899,174138
,Kent,Longlands Primary School,Mixed,Bexley,,DA15 7JG,11,5,Woodside Road,Sidcup,Community School,545413,172315
,Kent,Slade Green Infant School,Mixed,Bexley,,DA8 2HX,7,3,Slade Green Road,Erith,Community School,552330,177087
,,Dulverton Primary School,Mixed,Bexley,New Eltham,SE9 3RH,11,3,Dulverton Road,London,Community School,544704,172874
,Kent,Bursted Wood Primary School,Mixed,Bexley,,DA7 5BS,11,3,Swanbridge Road,Bexleyheath,Community School,549645,176496
,Kent,Parkway Primary School,Mixed,Bexley,,DA18 4DP,11,3,Alsike Road,Erith,Community School,548249,179254
,Kent,Belvedere Infant School,Mixed,Bexley,,DA17 6AA,7,3,Mitchell Close,Belvedere,Community School,549956,179092
,Kent,Chatsworth Infant School,Mixed,Bexley,,DA15 9DD,7,3,Burnt Oak Lane,Sidcup,Community School,546420,173340
,,Jubilee Primary School,Mixed,Bexley,Thamesmead,SE28 8JB,11,3,Crowden Way Crossway,London,Community School,547334,180626
,Kent,Northwood Primary School,Mixed,Bexley,Yarnton Way,DA18 4HN,11,4,Northwood Place,Erith,Community School,548540,179207
,Kent,Sherwood Park Primary School,Mixed,Bexley,,DA15 9JQ,11,3,Sherwood Park Avenue,Sidcup,Community School,546847,174111
,,Castilion Primary School,Mixed,Bexley,Thamesmead,SE28 8QA,11,3,Copperfield Road,London,Community School,547307,181174
,Kent,Royal Park Primary School,Mixed,Bexley,,DA14 4PX,11,3,Riverside Road,Sidcup,Community School,548120,172332
,Kent,Hurst Primary School,Mixed,Bexley,,DA5 3AJ,11,3,Dorchester Avenue,Bexley,Community School,547956,173514
,Kent,Barrington Primary School,Mixed,Bexley,,DA7 4UN,11,4,Barrington Road,Bexleyheath,Community School,547665,176046
,Kent,Normandy Primary School,Mixed,Bexley,Barnehurst,DA7 6QP,11,3,Fairford Avenue,Bexleyheath,Community School,550969,176679
,Kent,Foster's Primary School,Mixed,Bexley,,DA16 1PN,11,3,Westbrooke Road,Welling,Voluntary Controlled School,547493,175925
,Kent,Old Bexley Church of England Primary School,Mixed,Bexley,,DA5 3JR,11,3,Hurst Road,Bexley,Voluntary Controlled School,548886,173437
,Kent,Holy Trinity Lamorbey Church of England Primary School,Mixed,Bexley,,DA15 9DB,11,3,Burnt Oak Lane,Sidcup,Voluntary Aided School,546258,173015
,Kent,St Paulinus Church of England Primary School,Mixed,Bexley,Crayford,DA1 4RW,11,5,Iron Mill Lane,Dartford,Voluntary Aided School,551293,175109
,Kent,St Stephen's Catholic Primary School,Mixed,Bexley,,DA16 3QG,11,5,Ruskin Avenue,Welling,Voluntary Aided School,546284,176040
,Kent,Our Lady of the Rosary Catholic Primary School,Mixed,Bexley,Blackfen,DA15 8QW,11,3,Holbeach Gardens,Sidcup,Voluntary Aided School,545455,174139
,Kent,St Joseph's Catholic Primary School,Mixed,Bexley,Crayford,DA1 4DZ,11,4,Old Road,Dartford,Voluntary Aided School,551010,175012
,Kent,St Fidelis Catholic Primary School,Mixed,Bexley,,DA8 3HQ,11,3,Bexley Road,Erith,Voluntary Aided School,550289,177625
,Kent,St Thomas More Catholic Primary School,Mixed,Bexley,,DA7 4PH,11,4,Sheldon Road,Bexleyheath,Voluntary Aided School,548695,176372
,Kent,St John Fisher Catholic Primary School,Mixed,Bexley,Thamesmead,DA18 4BA,11,5,Kale Road,Erith,Voluntary Aided School,548112,179495
,Kent,St Peter Chanel Catholic Primary School,Mixed,Bexley,Footscray,DA14 5ED,11,4,Baugh Road,Sidcup,Voluntary Aided School,547304,171192
,Kent,Barnehurst Infant School,Mixed,Bexley,Northumberland Heath,DA8 3NL,7,3,Barnehurst Close,Erith,Foundation School,550289,176697
,Kent,Barnehurst Junior (Foundation) School,Mixed,Bexley,Northumberland Heath,DA8 3NL,11,7,Barnehurst Close,Erith,Foundation School,550235,176683
,Kent,St Michael's East Wickham Church of England Voluntary Aided Primary School,Mixed,Bexley,,DA16 1LS,11,4,Wrotham Road,Welling,Voluntary Aided School,547450,176622
,Kent,West Lodge School,Mixed,Bexley,,DA15 7DU,11,3,36 Station Road,Sidcup,Other Independent School,546219,172111
,Kent,Merton Court School,Mixed,Bexley,,DA14 4QU,11,2,38 Knoll Road,Sidcup,Other Independent School,546999,171526
,Kent,Benedict House Preparatory School,Mixed,Bexley,,DA15 7HD,11,2,1-5 Victoria Road,Sidcup,Other Independent School,546039,172061
,Kent,Woodside School,Mixed,Bexley,,DA17 6DW,16,5,Halt Robin Road,Belvedere,Community Special School,549809,178886
,Kent,Shenstone School,Mixed,Bexley,,DA1 4DZ,11,2,94 Old Road,Crayford,Community Special School,550978,175005
,Kent,Marlborough School,Mixed,Bexley,,DA15 9DP,19,11,Marlborough Park Avenue,Sidcup,Community Special School,546278,173491
,Kent,Westbrooke School,Mixed,Bexley,,DA16 1JB,11,5,South Gypsy Road,Welling,Community Special School,547605,175798
,,Curzon Crescent Nursery School,Mixed,Brent,,NW10 9SD,5,3,Curzon Crescent,London,LA Nursery School,521396,184393
,,Fawood Children's Centre,Mixed,Brent,,NW10 8RF,5,3,35 Fawood Avenue,London,LA Nursery School,520575,184157
,,College Green Nursery School and Services,Mixed,Brent,,NW10 3PH,5,3,161 College Road,London,LA Nursery School,523020,183489
,,Granville Plus Nursery School,Mixed,Brent,,NW6 5RA,5,3,Granville Road,London,LA Nursery School,525081,183081
,,Anson Primary School,Mixed,Brent,,NW2 4AB,11,3,Anson Road,London,Community School,523551,185363
,,Brentfield Primary School,Mixed,Brent,,NW10 0SL,11,3,41-43 Meadow Garth,London,Community School,520547,184530
,Middlesex,Byron Court Primary School,Mixed,Brent,,HA0 3SF,11,4,Spencer Road,Wembley,Community School,517138,186959
,,Carlton Vale Infant School,Mixed,Brent,Kilburn,NW6 5PX,7,3,Malvern Place,London,Community School,524936,182963
,,Harlesden Primary School,Mixed,Brent,,NW10 8UT,11,3,Acton Lane,London,Community School,521137,183464
,,Mount Stewart Junior School,Mixed,Brent,Kenton,HA3 0JX,11,7,Mount Stewart Avenue,Harrow,Community School,517838,187953
Kenton,,Mount Stewart Infant School,Mixed,Brent,Mount Stewart Avenue,HA3 0JX,7,5,Carlisle Gardens,Harrow,Community School,517772,187995
,,Uxendon Manor Primary School,Mixed,Brent,Kenton,HA3 0UX,11,3,Vista Way,Harrow,Community School,518026,188544
,,Kingsbury Green Primary School,Mixed,Brent,Kingsbury,NW9 9ND,11,3,Old Kenton Lane,London,Community School,519977,188577
,,Leopold Primary School,Mixed,Brent,Willesden,NW10 9UR,11,3,Hawkshead Road,London,Community School,521666,184295
,,Lyon Park Junior School,Mixed,Brent,,HA0 4HH,11,7,Vincent Road,Wembley,Community School,518822,184117
,,Lyon Park Infant School,Mixed,Brent,,HA0 4HH,7,3,Vincent Road,Wembley,Community School,518822,184117
,,Malorees Infant School,Mixed,Brent,,NW6 7PB,7,3,Christchurch Avenue,London,Community School,523968,184019
,,Northview Junior and Infant School,Mixed,Brent,,NW10 1RD,11,3,Northview Crescent,London,Community School,521591,185552
,,Park Lane Primary School,Mixed,Brent,,HA9 7RY,11,3,Park Lane,Wembley,Community School,518377,185485
,,Preston Park Primary School,Mixed,Brent,,HA9 8RJ,11,3,College Road,Wembley,Community School,517958,187213
,,Roe Green Junior School,Mixed,Brent,Kingsbury,NW9 9JL,11,7,Princes Avenue,London,Community School,519786,189328
,,Roe Green Infant School,Mixed,Brent,Kingsbury,NW9 9JL,7,3,Princes Avenue,London,Community School,519786,189328
,,Barham Primary School,Mixed,Brent,,HA0 4RQ,11,3,Danethorpe Road,Wembley,Community School,517505,184641
,,Wykeham Primary School,Mixed,Brent,,NW10 0EX,11,3,Aboyne Road,London,Community School,521071,186327
,,Elsley Primary School,Mixed,Brent,,HA9 6HT,11,3,Tokyngton Avenue,Wembley,Community School,518881,184714
,,Donnington Primary School,Mixed,Brent,,NW10 3TL,11,3,Uffington Road,London,Community School,522602,184026
,,The Stonebridge School,Mixed,Brent,,NW10 8NG,11,3,Shakespeare Avenue,London,Community School,520512,183840
,,Newfield Primary School,Mixed,Brent,Willesden,NW10 3UD,11,3,Longstone Avenue,London,Community School,521873,184023
,,Kensal Rise Primary School,Mixed,Brent,,NW6 6HJ,11,3,Harvist Road,London,Community School,523722,183042
,,Mitchell Brook Primary School,Mixed,Brent,,NW10 9BX,11,3,Bridge Road,London,Community School,521012,184771
,,Furness Primary School,Mixed,Brent,,NW10 5YT,11,3,Furness Road,London,Community School,522256,183121
,,Chalkhill Primary School,Mixed,Brent,,HA9 9YP,11,3,Barnhill Road,Wembley,Community School,519973,186213
,,Salusbury Primary School,Mixed,Brent,Kilburn,NW6 6RG,11,3,Salusbury Road,London,Community School,524562,183530
,,Oliver Goldsmith Primary School,Mixed,Brent,Kingsbury,NW9 0BD,11,3,Coniston Gardens,London,Community School,520811,188560
,,Gladstone Park School,Mixed,Brent,,NW10 1LB,11,3,Sherrick Green Road,London,Community School,522573,185177
,,Mora Primary School,Mixed,Brent,Cricklewood,NW2 6TD,11,3,Mora Road,London,Community School,523143,185937
,,Fryent Primary School,Mixed,Brent,Kingsbury,NW9 8JD,11,3,Church Lane,London,Community School,520390,187901
,,Braintcroft Primary School,Mixed,Brent,,NW2 7LL,11,3,Warren Road,London,Community School,521772,186538
,,Christ Church CofE Primary School,Mixed,Brent,Kilburn,NW6 7TE,11,3,Clarence Road,London,Voluntary Aided School,524603,184020
,,John Keble CofE Primary School,Mixed,Brent,,NW10 4DR,11,3,Crownhill Road,London,Voluntary Aided School,521673,183577
,,Princess Frederica CofE Primary School,Mixed,Brent,,NW10 5TP,11,3,College Road,London,Voluntary Aided School,523191,183060
,,St Andrew and St Francis CofE Primary School,Mixed,Brent,,NW2 5PE,11,3,Belton Road,London,Voluntary Aided School,522423,184834
,,St Mary's CofE Primary School,Mixed,Brent,,NW10 9JA,11,3,Garnet Road,London,Voluntary Aided School,521289,184721
,,Our Lady of Grace Catholic Junior School,Mixed,Brent,,NW2 6HS,11,7,Dollis Hill Lane,London,Voluntary Aided School,522589,186206
,,St Joseph RC Junior School,Mixed,Brent,,HA9 6BE,11,7,Chatsworth Avenue,Wembley,Voluntary Aided School,518800,185082
,,St Mary Magdalen Catholic Junior School,Mixed,Brent,Willesden Green,NW2 5BB,11,7,Linacre Road,London,Voluntary Aided School,522931,184693
,,St Robert Southwell RC Primary School,Mixed,Brent,Kingsbury,NW9 8YD,11,3,Slough Lane,London,Voluntary Aided School,520098,188410
,,Convent of Jesus and Mary RC Infant School,Mixed,Brent,,NW2 5AN,7,3,21 Park Avenue,London,Voluntary Aided School,523022,184716
,,Our Lady of Lourdes RC Primary School,Mixed,Brent,,NW10 8PP,11,3,Wesley Road,London,Voluntary Aided School,520418,183856
,,St Joseph's RC Infant School,Mixed,Brent,,HA9 6TA,7,3,Waverley Avenue,Wembley,Voluntary Aided School,518816,185048
,,Our Lady of Grace RC Infant and Nursery School,Mixed,Brent,,NW2 6EU,7,3,Dollis Hill Avenue,London,Voluntary Aided School,523176,186533
